x   y   c
3.1622776602 0.0000316228 -2.6748804947
3.1622776602 0.0000562341 -2.6748840418
3.1622776602 0.0001000000 -2.6748903470
3.1622776602 0.0001778279 -2.6749015510
3.1622776602 0.0003162278 -2.6749214490
3.1622776602 0.0005623413 -2.6749567507
3.1622776602 0.0010000000 -2.6750192654
3.1622776602 0.0017782794 -2.6751296039
3.1622776602 0.0031622777 -2.6753231739
3.1622776602 0.0056234133 -2.6756589742
3.1622776602 0.0100000000 -2.6762295148
3.1622776602 0.0177827941 -2.6771648566
3.1622776602 0.0316227766 -2.6786361212
3.1622776602 0.0562341325 -2.6807507145
3.1622776602 0.1000000000 -2.5636269716
3.1622776602 0.1778279410 -2.6348780749
3.1622776602 0.3162277660 -2.5721441329
3.1622776602 0.5623413252 -2.6520645634
3.1622776602 1.0000000000 -2.2817628043
3.1622776602 1.7782794100 -2.1951102967
3.1622776602 3.1622776602 -2.0576900632
3.1622776602 5.6234132519 -1.8493623694
3.1622776602 10.0000000000 -2.0426718689
3.1622776602 17.7827941004 -1.3949085236
3.1622776602 31.6227766017 -1.0173975870
3.1622776602 56.2341325190 -0.5473872480
3.1622776602 100.0000000000 -0.1202483164
3.1622776602 177.8279410039 -0.0096527548
3.1622776602 316.2277660168 0.0000000000
3.1622776602 562.3413251903 0.0000000000
3.1622776602 1000.0000000000 0.0000000000
5.6234132519 0.0000100000 -2.4919213374
5.6234132519 0.0000177828 -2.4919214169
5.6234132519 0.0000316228 -2.4919215581
5.6234132519 0.0000562341 -2.4919218092
5.6234132519 0.0001000000 -2.4919222549
5.6234132519 0.0001778279 -2.4919230453
5.6234132519 0.0003162278 -2.4919244442
5.6234132519 0.0005623413 -2.4919269106
5.6234132519 0.0010000000 -2.4919312310
